DBNLti_id	DBNLpers_id	YearFirstPublished	YearEditionPublished	Edition	Woman	Born	Died	AuthorOrigin	DBNLgeb_land_code	DBNLgenre	DBNLsubgenre	Author	Title	Filename	ti_id_set	WPAuthor	AuthorInCanon2002	TitleInCanon2002	InBasisbibliotheek2008	AuthorDBRDMatches	AuthorNLWikipedia2019Matches	DBNLSecRefsAuthor	DBNLSecRefsTitle	holding	lending	GNTpages
kiev001club02	kiev001	1903	1907	3de druk	0	1858	1931	Hoofddorp		proza,jeugdliteratuur	roman	C.J. Kieviet	De club op reis	kiev001club02_01.xml	kiev001club03,kiev001club02	Cornelis Johannes Kieviet	0	0	0	0	6	11	0	0	0	0
mont003amma01	mont003	1903	1903	1ste druk	0	1857	1931	Wambeek		proza	historische roman	Pol de Mont	De amman van Antwerpen	mont003amma01_01.xml	mont003amma01	Pol de Mont	0	0	0	0	21	106	1	0	0	17
quer002mens01	quer002	1903	1903	1ste druk	0	1872	1932	Amsterdam		proza	roman	Israël Querido	Menschenwee. Roman van het land. Deel 2	quer002mens01_01.xml	quer002mens01	Israël Querido	0	0	0	0	7	61	4	5	0	26
quer002mens02	quer002	1903	1903	1ste druk	0	1872	1932	Amsterdam		proza	roman	Israël Querido	Menschenwee. Roman van het land. Deel 1	quer002mens02_01.xml	quer002mens02	Israël Querido	0	0	0	0	7	61	0	5	0	26
ram_002sche01	ram_002	1903	1903	1ste druk	1	1858	1901	Antwerpen		proza	novelle(n),schetsen,verhalen	Hilda Ram	Schetsen, novellen en vertellingen	ram_002sche01_01.xml	ram_002sche01	Hilda Ram	0	0	0	0	2	24	1	0	0	4
stra018verb01	stra018	1903	1903	1ste druk	1	1852	1908	Zeist		proza	roman,detective	Louise Stratenus	Een verborgen bladzijde uit het leven van Sherlock Holmes	stra018verb01_01.xml	stra018verb01	Louise Stratenus	0	0	0	0	1	18	0	0	0	4
stre009minn01	stre009	1903	1903	1ste druk	0	1871	1969	Heule		proza	roman	Stijn Streuvels	Minnehandel. Deel 1	stre009minn01_01.xml	stre009minn01	Stijn Streuvels	1	0	0	2	84	236	1	0	0	1
stre009minn02	stre009	1903	1903	1ste druk	0	1871	1969	Heule		proza	roman	Stijn Streuvels	Minnehandel. Deel 2	stre009minn02_01.xml	stre009minn02	Stijn Streuvels	1	0	0	2	84	236	0	0	0	1
wit_001godi02	wit_001	1903	1903	1ste druk	1	1864	1939	Sibolga (Sumatra)	indon01	proza	roman	Augusta de Wit	De godin die wacht	wit_001godi02_01.xml	wit_001godi02	Augusta de Wit	0	0	0	2	4	37	5	0	0	20
wit_001orph01	wit_001	1903	1903	1ste druk	1	1864	1939	Sibolga (Sumatra)	indon01	proza	roman	Augusta de Wit	Orpheus in de dessa	wit_001orph01_01.xml	wit_001orph01	Augusta de Wit	0	0	0	2	4	37	5	10	44	20
boek001pahk01	boek001	1904	1904	1ste druk	0	1867	1930	Amsterdam		proza	roman	Boeka	Pàhkasinum	boek001pahk01_01.xml	boek001pahk01		0	0	0	0	4	1	1	0	0	0
boov001trop01	boov001	1904	1904	1ste druk	0	1877	1964	Haarlem		proza	reisverhalen,roman	Henri van Booven	Tropenwee	boov001trop01_01.xml	boov001trop01	Henri van Booven	0	0	0	0	5	14	5	0	0	7
coup002dion01	coup002	1904	1904	1ste druk	0	1863	1923	Den Haag		proza,poëzie	roman,gedichten / dichtbundel	Louis Couperus	Dionyzos	coup002dion01_01.xml	coup002dion01	Louis Couperus	1	0	0	28	197	372	11	13	15	2
gogh002inhe01	gogh002	1904	1904	1ste druk	1	1869	1960	Velsen		proza,jeugdliteratuur	roman	Anna van Gogh-Kaulbach	In het bloembollenland	gogh002inhe01_01.xml	gogh002inhe01	Anna van Gogh-Kaulbach	0	0	0	0	2	67	1	0	0	5
haan008pijp01	haan008	1904	1974	1ste druk	0	1881	1924	Smilde		proza	roman	Jacob Israël de Haan	Pijpelijntjes	haan008pijp01_01.xml	haan008pijp01,haan008wjsi01	Jacob Israël de Haan	0	0	1	2	30	70	8	27	155	19
hart028sjof01	hart028	1904	1904	1ste druk	0	1869	1904	Schiedam		proza	roman	Henri Hartog	Sjofelen	hart028sjof01_01.xml	hart028sjof01	Henri Hartog	0	0	0	0	0	4	5	0	0	0
heij011diam01	heij011	1904	1904	1ste druk	0	1864	1924	Rotterdam		proza	roman	Herman Heijermans	Diamantstad	heij011diam01_01.xml	heij011diam01	Herman Heijermans	1	0	0	0	58	86	6	0	0	1
kiev001okke02	kiev001	1904	1907	2de druk	0	1858	1931	Hoofddorp		proza,jeugdliteratuur	roman,schelmenverhaal	C.J. Kieviet	Okke Tannema	kiev001okke02_01.xml	kiev001okke02,kiev001okke01	Cornelis Johannes Kieviet	0	0	0	0	6	11	0	1	0	0
loui001jann01	loui001	1904	1904	1ste druk	1	1859	1913	Padang	indon01	proza	roman	Louise B.B.	Janneke de pionierster	loui001jann01_01.xml	loui001jann01	Louise de Neve	0	0	0	0	0	8	1	0	0	0
love002twis01	love002	1904	1904	1ste druk	1	1836	1923	Nevele		proza	roman	Virginie Loveling	De twistappel	love002twis01_01.xml	love002twis01	Virginie Loveling	0	0	0	1	14	74	6	0	0	13
noor019nina03	noor019	1904	1926	4de druk	1	1869	1928	Den Haag		proza,jeugdliteratuur	roman	Cornélie Noordwal	Nina Donker	noor019nina03_01.xml	noor019nina03,noor019nina04	Cornélie Noordwal	0	0	0	0	0	16	0	3	2	0
penn006wate03	penn006	1904	1904	1ste druk	0	1854	1927	Waardhuizen		proza,jeugdliteratuur	roman	Louwrens Penning	De watervloed. Een verhaal van den Sint-Elizabethsvloed	penn006wate03_01.xml	penn006wate03	Louwrens Penning	0	0	0	0	1	10	0	0	0	2
quer002zege01	quer002	1904	1904	1ste druk	0	1872	1932	Amsterdam		proza	roman	Israël Querido	Zegepraal	quer002zege01_01.xml	quer002zege01	Israël Querido	0	0	0	0	7	61	2	4	0	26
rikk001codj01	rikk001	1904	1904	1ste druk	0	1863	1908	Paramaribo	surin01	proza	roman	F.H. Rikken	Codjo, de brandstichter	rikk001codj01_01.xml	rikk001codj01	Henri François Rikken	0	0	0	0	7	1	0	0	0	0
sche034zwer01	sche034	1904	1904	1ste druk	0	1874	1946	Batavia	indon01	proza	roman	Arthur van Schendel	Een zwerver verliefd	sche034zwer01_01.xml	alco002minn01,sche034berg01,sche034pand01,sche034tris01,sche034safi01,sche034zwer02,sche034rose01,sche034verh01,sche034verz02,sche034ouit01,sche034angi01,sche034shak01,sche034mens01,sche034verz03,sche034drog01,sche034scho01,sche034blan01,sche034blid01,sche034zwer01	Arthur van Schendel	1	1	0	2	17	165	56	4	3	1
snel011moed01	snel011	1904	1904	1ste druk	1	1862	1948	Utrecht		jeugdliteratuur	roman	Agatha Snellen	Moeder Marianne	snel011moed01_01.xml	snel011moed01	Agatha Snellen	0	0	0	0	1	0	0	1	0	0
stij007hard01	stij007	1904	1904	1ste druk	0	1850	1905	Mullem		proza	roman	Reimond Stijns	Hard labeur	stij007hard01_01.xml	stij007hard01	Reimond Stijns	0	0	0	0	10	12	3	0	0	7
verm011last01	verm011	1904	1904	1ste druk	0	1877	1924	Veurne		proza	roman	Gustaaf Vermeersch	De last	verm011last01_01.xml	verm011last01	Gustaaf Vermeersch	0	0	1	0	4	10	6	0	0	8
albe002koni03	albe002	1905	1906	1ste druk	1	1848	1908	Amsterdam		proza	roman	Catharina Alberdingk Thijm	Koningsliefde. Het drama in Servië	albe002koni03_01.xml	albe002koni03	Catharina Alberdingk Thijm	0	0	0	0	0	5	0	0	0	6
boud007kind01	boud007	1905	1905	1ste druk	1	1875	1966	Amsterdam		proza	novelle(n)	Ina Boudier-Bakker	Kinderen	boud007kind01_01.xml	boud007kind01	Ina Boudier-Bakker	1	0	0	0	15	53	10	0	0	1
buys009leve01	buys009	1905	1927	3de druk	0	1859	1932	Nevele		proza	roman	Cyriel Buysse	Het leven van Rozeke van Dalen	buys009leve01_01.xml	buys009vanh01,buys009stri01,buys009tbol01,buys009leve03,buys009leve01,buys009verz02,buys009tbol02,buys009nach01,buys009ezel01,buys009voll01,buys009ezel02	Cyriel Buysse	0	0	0	4	38	166	37	0	0	7
